model,b1,log10c0,p1,E1,E2,log10delta1,log10delta2,pop_frac1,pop_frac2,strategy1,strategy2,batches,steady_state,fullname
1,0.5,0,0.5,1,0.9,-2,-1.5,0.500000003,0.499999997,1,8.51347635173665e-313,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_10.mat
1,0.5,0,0.5,1,0.95,-0.5,-1.5,0.500000002,0.499999998,1,1.74033446861966e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_100.mat
1,0.5,0,0.5,1,0.95,-0.5,-1,0.500000002,0.499999998,1,1.7372700772314e-312,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_101.mat
1,0.5,0,0.5,1,0.95,-0.5,-0.5,1,2.14E-20,0.360616175,0.374264601,1764,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_102.mat
1,0.5,0,0.5,1,0.95,-0.5,0,0.500000002,0.499999998,1.03014591341246e-312,1,1039,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_103.mat
1,0.5,0,0.5,1,0.95,0,-2.5,0.500000002,0.499999998,1,1.69549471598993e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_104.mat
1,0.5,0,0.5,1,0.95,0,-2,0.500000002,0.499999998,1,1.70541703574272e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_105.mat
1,0.5,0,0.5,1,0.95,0,-1.5,0.500000002,0.499999998,1,1.74033446861966e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_106.mat
1,0.5,0,0.5,1,0.95,0,-1,0.500000002,0.499999998,1,1.7372700772314e-312,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_107.mat
1,0.5,0,0.5,1,0.95,0,-0.5,0.500000002,0.499999998,1,9.47989068074617e-313,1039,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_108.mat
1,0.5,0,0.5,1,0.95,0,0,0.500000002,0.499999998,1,1.08646715295465e-311,1032,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_109.mat
1,0.5,0,0.5,1,0.9,-2,-1,0.500000003,0.499999997,1.81049995759491e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_11.mat
1,0.5,0,0.5,1,0.975,-2.5,-2.5,1,2.81E-16,0.358529239,0.361680152,2122,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_110.mat
1,0.5,0,0.5,1,0.975,-2.5,-2,1,2.30E-16,0.641470761,0.642975697,2111,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_111.mat
1,0.5,0,0.5,1,0.975,-2.5,-1.5,0.500000001,0.499999999,1,8.79912916772687e-313,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_112.mat
1,0.5,0,0.5,1,0.975,-2.5,-1,0.500000001,0.499999999,1.74685220873097e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_113.mat
1,0.5,0,0.5,1,0.975,-2.5,-0.5,0.500000001,0.499999999,1.74685220873097e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_114.mat
1,0.5,0,0.5,1,0.975,-2.5,0,0.500000001,0.499999999,1.74685220873097e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_115.mat
1,0.5,0,0.5,1,0.975,-2,-2.5,1,3.33E-16,0.648159918,0.640071921,2133,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_116.mat
1,0.5,0,0.5,1,0.975,-2,-2,1,2.76E-16,0.648159918,0.644831058,2121,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_117.mat
1,0.5,0,0.5,1,0.975,-2,-1.5,0.500000001,0.499999999,1,8.79685265364429e-313,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_118.mat
1,0.5,0,0.5,1,0.975,-2,-1,0.500000001,0.499999999,1.75731765053503e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_119.mat
1,0.5,0,0.5,1,0.9,-2,-0.5,0.500000003,0.499999997,1.81049995759491e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_12.mat
1,0.5,0,0.5,1,0.975,-2,-0.5,0.500000001,0.499999999,1.75731765053503e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_120.mat
1,0.5,0,0.5,1,0.975,-2,0,0.500000001,0.499999999,1.75731765053503e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_121.mat
1,0.5,0,0.5,1,0.975,-1.5,-2.5,0.500000001,0.499999999,1.79525599714692e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_122.mat
1,0.5,0,0.5,1,0.975,-1.5,-2,0.500000001,0.499999999,1.79481416270813e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_123.mat
1,0.5,0,0.5,1,0.975,-1.5,-1.5,1,7.79E-16,0.318987037,0.323615522,2194,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_124.mat
1,0.5,0,0.5,1,0.975,-1.5,-1,0.500000001,0.499999999,1.79413064011024e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_125.mat
