log10c0,p1,E,log10delta
-2,0.5,[1;1],[-4;-4]
-2,0.55,[1;1],[-4;-4]
-2,0.6,[1;1],[-4;-4]
-2,0.65,[1;1],[-4;-4]
-2,0.7,[1;1],[-4;-4]
-2,0.75,[1;1],[-4;-4]
-2,0.8,[1;1],[-4;-4]
-2,0.85,[1;1],[-4;-4]
-2,0.9,[1;1],[-4;-4]
-2,0.95,[1;1],[-4;-4]
-2,1,[1;1],[-4;-4]
-1.6,0.5,[1;1],[-3.6;-3.6]
-1.6,0.55,[1;1],[-3.6;-3.6]
-1.6,0.6,[1;1],[-3.6;-3.6]
-1.6,0.65,[1;1],[-3.6;-3.6]
-1.6,0.7,[1;1],[-3.6;-3.6]
-1.6,0.75,[1;1],[-3.6;-3.6]
-1.6,0.8,[1;1],[-3.6;-3.6]
-1.6,0.85,[1;1],[-3.6;-3.6]
-1.6,0.9,[1;1],[-3.6;-3.6]
-1.6,0.95,[1;1],[-3.6;-3.6]
-1.6,1,[1;1],[-3.6;-3.6]
-1.2,0.5,[1;1],[-3.2;-3.2]
-1.2,0.55,[1;1],[-3.2;-3.2]
-1.2,0.6,[1;1],[-3.2;-3.2]
-1.2,0.65,[1;1],[-3.2;-3.2]
-1.2,0.7,[1;1],[-3.2;-3.2]
-1.2,0.75,[1;1],[-3.2;-3.2]
-1.2,0.8,[1;1],[-3.2;-3.2]
-1.2,0.85,[1;1],[-3.2;-3.2]
-1.2,0.9,[1;1],[-3.2;-3.2]
-1.2,0.95,[1;1],[-3.2;-3.2]
-1.2,1,[1;1],[-3.2;-3.2]
-0.8,0.5,[1;1],[-2.8;-2.8]
-0.8,0.55,[1;1],[-2.8;-2.8]
-0.8,0.6,[1;1],[-2.8;-2.8]
-0.8,0.65,[1;1],[-2.8;-2.8]
-0.8,0.7,[1;1],[-2.8;-2.8]
-0.8,0.75,[1;1],[-2.8;-2.8]
-0.8,0.8,[1;1],[-2.8;-2.8]
-0.8,0.85,[1;1],[-2.8;-2.8]
-0.8,0.9,[1;1],[-2.8;-2.8]
-0.8,0.95,[1;1],[-2.8;-2.8]
-0.8,1,[1;1],[-2.8;-2.8]
-0.4,0.5,[1;1],[-2.4;-2.4]
-0.4,0.55,[1;1],[-2.4;-2.4]
-0.4,0.6,[1;1],[-2.4;-2.4]
-0.4,0.65,[1;1],[-2.4;-2.4]
-0.4,0.7,[1;1],[-2.4;-2.4]
-0.4,0.75,[1;1],[-2.4;-2.4]
-0.4,0.8,[1;1],[-2.4;-2.4]
-0.4,0.85,[1;1],[-2.4;-2.4]
-0.4,0.9,[1;1],[-2.4;-2.4]
-0.4,0.95,[1;1],[-2.4;-2.4]
-0.4,1,[1;1],[-2.4;-2.4]
0,0.5,[1;1],[-2;-2]
0,0.55,[1;1],[-2;-2]
0,0.6,[1;1],[-2;-2]
0,0.65,[1;1],[-2;-2]
0,0.7,[1;1],[-2;-2]
0,0.75,[1;1],[-2;-2]
0,0.8,[1;1],[-2;-2]
0,0.85,[1;1],[-2;-2]
0,0.9,[1;1],[-2;-2]
0,0.95,[1;1],[-2;-2]
0,1,[1;1],[-2;-2]
0.4,0.5,[1;1],[-1.6;-1.6]
0.4,0.55,[1;1],[-1.6;-1.6]
0.4,0.6,[1;1],[-1.6;-1.6]
0.4,0.65,[1;1],[-1.6;-1.6]
0.4,0.7,[1;1],[-1.6;-1.6]
0.4,0.75,[1;1],[-1.6;-1.6]
0.4,0.8,[1;1],[-1.6;-1.6]
0.4,0.85,[1;1],[-1.6;-1.6]
0.4,0.9,[1;1],[-1.6;-1.6]
0.4,0.95,[1;1],[-1.6;-1.6]
0.4,1,[1;1],[-1.6;-1.6]
0.8,0.5,[1;1],[-1.2;-1.2]
0.8,0.55,[1;1],[-1.2;-1.2]
0.8,0.6,[1;1],[-1.2;-1.2]
0.8,0.65,[1;1],[-1.2;-1.2]
0.8,0.7,[1;1],[-1.2;-1.2]
0.8,0.75,[1;1],[-1.2;-1.2]
0.8,0.8,[1;1],[-1.2;-1.2]
0.8,0.85,[1;1],[-1.2;-1.2]
0.8,0.9,[1;1],[-1.2;-1.2]
0.8,0.95,[1;1],[-1.2;-1.2]
0.8,1,[1;1],[-1.2;-1.2]
1.2,0.5,[1;1],[-0.8;-0.8]
1.2,0.55,[1;1],[-0.8;-0.8]
1.2,0.6,[1;1],[-0.8;-0.8]
1.2,0.65,[1;1],[-0.8;-0.8]
1.2,0.7,[1;1],[-0.8;-0.8]
1.2,0.75,[1;1],[-0.8;-0.8]
1.2,0.8,[1;1],[-0.8;-0.8]
1.2,0.85,[1;1],[-0.8;-0.8]
1.2,0.9,[1;1],[-0.8;-0.8]
1.2,0.95,[1;1],[-0.8;-0.8]
1.2,1,[1;1],[-0.8;-0.8]
1.6,0.5,[1;1],[-0.4;-0.4]
1.6,0.55,[1;1],[-0.4;-0.4]
1.6,0.6,[1;1],[-0.4;-0.4]
1.6,0.65,[1;1],[-0.4;-0.4]
1.6,0.7,[1;1],[-0.4;-0.4]
1.6,0.75,[1;1],[-0.4;-0.4]
1.6,0.8,[1;1],[-0.4;-0.4]
1.6,0.85,[1;1],[-0.4;-0.4]
1.6,0.9,[1;1],[-0.4;-0.4]
1.6,0.95,[1;1],[-0.4;-0.4]
1.6,1,[1;1],[-0.4;-0.4]
2,0.5,[1;1],[0;0]
2,0.55,[1;1],[0;0]
2,0.6,[1;1],[0;0]
2,0.65,[1;1],[0;0]
2,0.7,[1;1],[0;0]
2,0.75,[1;1],[0;0]
2,0.8,[1;1],[0;0]
2,0.85,[1;1],[0;0]
2,0.9,[1;1],[0;0]
2,0.95,[1;1],[0;0]
2,1,[1;1],[0;0]
